"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Swag Labs UI Tests","Products","Product Operations","2","0","2","0","0"
"Swag Labs UI Tests","Login Functionality","Login Scenarios","0","0","7","0","0"
"Swag Labs UI Tests","Regression Suite","Full Purchase Flow","0","0","1","0","0"
"Swag Labs UI Tests","Checkout Functionality","Checkout Scenarios","1","0","4","0","0"
"Swag Labs UI Tests","Cart Functionality","Add and Remove Items","3","0","0","0","0"
"Swag Labs UI Tests","Cart Functionality","Add Multiple Items","1","0","1","0","0"
"","","","0","0","1","0","0"
